MFCCs 30% Test 70% Train 
0.887 (+/-0.029) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 10, 'weights': 'uniform'}
0.889 (+/-0.043) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 10, 'weights': 'distance'}
0.888 (+/-0.043) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 1, 'weights': 'uniform'}
0.899 (+/-0.036) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 1, 'weights': 'distance'}
0.900 (+/-0.032) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 2, 'weights': 'uniform'}
0.904 (+/-0.036) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 2, 'weights': 'distance'}
0.893 (+/-0.036) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 3, 'weights': 'uniform'}
0.892 (+/-0.034) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 3, 'weights': 'distance'}
0.889 (+/-0.029) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 5, 'weights': 'uniform'}
0.892 (+/-0.018) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 5, 'weights': 'distance'}
0.890 (+/-0.023) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 6, 'weights': 'uniform'}
0.892 (+/-0.018) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 6, 'weights': 'distance'}
0.893 (+/-0.025) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 8, 'weights': 'uniform'}
0.898 (+/-0.025) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 8, 'weights': 'distance'}
0.890 (+/-0.029) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 10, 'weights': 'uniform'}
0.892 (+/-0.024) para {'algorithm': 'ball_tree', 'n_neighbors': 30, 'p': 10, 'weights': 'distance'}
0.884 (+/-0.044) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 1, 'weights': 'uniform'}
0.892 (+/-0.041) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 1, 'weights': 'distance'}
0.891 (+/-0.033) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 2, 'weights': 'uniform'}
0.892 (+/-0.038) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 2, 'weights': 'distance'}
0.890 (+/-0.027) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 3, 'weights': 'uniform'}
0.896 (+/-0.021) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 3, 'weights': 'distance'}
0.881 (+/-0.020) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 5, 'weights': 'uniform'}
0.887 (+/-0.020) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 5, 'weights': 'distance'}
0.879 (+/-0.018) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 6, 'weights': 'uniform'}
0.884 (+/-0.014) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 6, 'weights': 'distance'}
0.874 (+/-0.022) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 8, 'weights': 'uniform'}
0.878 (+/-0.010) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 8, 'weights': 'distance'}
0.877 (+/-0.016) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 10, 'weights': 'uniform'}
0.881 (+/-0.018) para {'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 10, 'weights': 'distance'}
0.875 (+/-0.029) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 1, 'weights': 'uniform'}
0.881 (+/-0.033) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 1, 'weights': 'distance'}
0.874 (+/-0.024) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 2, 'weights': 'uniform'}
0.881 (+/-0.026) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 2, 'weights': 'distance'}
0.866 (+/-0.037) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 3, 'weights': 'uniform'}
0.878 (+/-0.023) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 3, 'weights': 'distance'}
0.858 (+/-0.034) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 5, 'weights': 'uniform'}
0.871 (+/-0.034) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 5, 'weights': 'distance'}
0.857 (+/-0.029) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 6, 'weights': 'uniform'}
0.869 (+/-0.025) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 6, 'weights': 'distance'}
0.851 (+/-0.032) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 8, 'weights': 'uniform'}
0.865 (+/-0.023) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 8, 'weights': 'distance'}
0.846 (+/-0.029) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 10, 'weights': 'uniform'}
0.863 (+/-0.021) para {'algorithm': 'ball_tree', 'n_neighbors': 100, 'p': 10, 'weights': 'distance'}
0.858 (+/-0.019) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 1, 'weights': 'uniform'}
0.867 (+/-0.021) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 1, 'weights': 'distance'}
0.858 (+/-0.017) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 2, 'weights': 'uniform'}
