MFCCs 30% Test 70% Train 
0.568 (+/-0.081) para {'C': 1, 'gamma': 10, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 1, 'gamma': 100, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 1, 'gamma': 1000, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 1, 'gamma': 10000, 'kernel': 'poly'}
0.385 (+/-0.093) para {'C': 10, 'gamma': 0.0001, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 10, 'gamma': 0.001, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 10, 'gamma': 0.1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 10, 'gamma': 1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 10, 'gamma': 10, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 10, 'gamma': 100, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 10, 'gamma': 1000, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 10, 'gamma': 10000, 'kernel': 'poly'}
0.546 (+/-0.068) para {'C': 100, 'gamma': 0.0001, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 100, 'gamma': 0.001, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 100, 'gamma': 0.01, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 100, 'gamma': 0.1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 100, 'gamma': 1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 100, 'gamma': 10, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 100, 'gamma': 100, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 100, 'gamma': 1000, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 100, 'gamma': 10000, 'kernel': 'poly'}
0.576 (+/-0.074) para {'C': 1000, 'gamma': 0.0001, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 1000, 'gamma': 0.001, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 1000, 'gamma': 0.01, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 1000, 'gamma': 0.1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 1000, 'gamma': 1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 1000, 'gamma': 10, 'kernel': 'poly'}
