MFCCs 30% Test 70% Train 
0.444 (+/-0.014) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.503 (+/-0.027) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.620 (+/-0.051) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.735 (+/-0.060) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.800 (+/-0.021) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
TOTAL 30% Test 70% Train linear 
0.310 (+/-0.042) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.650 (+/-0.036) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.851 (+/-0.038) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.904 (+/-0.023) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.898 (+/-0.039) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.890 (+/-0.041) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.886 (+/-0.042) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.882 (+/-0.049) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.877 (+/-0.039) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
MFCCs1 30% Test 70% Train linear 
0.335 (+/-0.119) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.375 (+/-0.163) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.385 (+/-0.105) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.452 (+/-0.042) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.402 (+/-0.089) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.397 (+/-0.073) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.397 (+/-0.073) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.397 (+/-0.073) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.397 (+/-0.073) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
MFCCs2 30% Test 70% Train linear 
0.490 (+/-0.045) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.516 (+/-0.091) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.484 (+/-0.085) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.476 (+/-0.081) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.476 (+/-0.081) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.476 (+/-0.081) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.476 (+/-0.081) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.476 (+/-0.081) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.476 (+/-0.081) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
MFCCs3 30% Test 70% Train linear 
0.695 (+/-0.076) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.690 (+/-0.037) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.674 (+/-0.080) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.669 (+/-0.040) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.669 (+/-0.040) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.669 (+/-0.040) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.669 (+/-0.040) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.669 (+/-0.040) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.669 (+/-0.040) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
LPCs1 30% Test 70% Train linear 
0.216 (+/-0.008) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.233 (+/-0.064) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.280 (+/-0.065) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.370 (+/-0.168) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.419 (+/-0.068) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.434 (+/-0.052) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.494 (+/-0.115) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.556 (+/-0.157) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.586 (+/-0.147) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
LPCs2 30% Test 70% Train linear 
0.220 (+/-0.056) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.254 (+/-0.061) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.309 (+/-0.040) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.314 (+/-0.072) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.395 (+/-0.177) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.408 (+/-0.201) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.463 (+/-0.132) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
